Nazwa jednostki,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017
Collegium Polonicum w Słubicach,576,487,563,563,516
Instytut Kultury Europejskiej w Gnieźnie Kolegium Europejskie w Gnieźnie,523,353,229,229,119
Wydział Anglistyki,1567,1405,1666,1666,1816
Wydział Biologii,1522,1319,1240,1240,1223
Wydział Chemii,1147,1125,1097,1097,1134
Wydział Filologii Polskiej i Klasycznej,2047,1961,2139,2139,2484
Wydział Fizyki,789,741,827,827,815
Wydział Historyczny,2563,2150,1930,1930,1803
Wydział Matematyki i Informatyki,1488,1669,1766,1766,1851
Wydział Nauk Geograficznych i Geologicznych,3772,3635,3569,3569,3455
Wydział Nauk Politycznych i Dziennikarstwa,3902,3930,4010,4010,4386
Wydział Nauk Społecznych,4400,3983,3572,3572,3607
Wydział Neofilologii,4200,4006,4149,4149,4168
Wydział Pedagogiczno-Artystyczny w Kaliszu,2404,2153,1397,1397,1302
Wydział Prawa i Administracji,4767,4462,4407,4407,4672
Wydział Studiów Edukacyjnych,5462,5781,5703,5703,6048
Wydział Teologiczny,516,595,586,586,564
Zamiejscowy Ośrodek Dydaktyczny w Pile,175,0,217,217,142
